BOARDID;SECID;TRADEDATE;SHORTNAME;NAME;CLOSE;OPEN;HIGH;LOW;VALUE;DURATION;YIELD;DECIMALS;CAPITALIZATION;CURRENCYID;DIVISOR;TRADINGSESSION;VOLUME;TRADE_SESSION_DATE;RECALC_DATE
SNDX;IMOEX;22.09.1997;Индекс МосБиржи;Индекс МосБиржи;100;;;;;;;2;;RUB;;3;;22.09.1997;
SNDX;IMOEX;23.09.1997;Индекс МосБиржи;Индекс МосБиржи;100,67;;;;;;;2;;RUB;;3;;23.09.1997;
SNDX;IMOEX;24.09.1997;Индекс МосБиржи;Индекс МосБиржи;99,94;;;;;;;2;;RUB;;3;;24.09.1997;
SNDX;IMOEX;25.09.1997;Индекс МосБиржи;Индекс МосБиржи;99,46;;;;;;;2;;RUB;;3;;25.09.1997;
SNDX;IMOEX;26.09.1997;Индекс МосБиржи;Индекс МосБиржи;98,87;;;;;;;2;;RUB;;3;;26.09.1997;
SNDX;IMOEX;29.09.1997;Индекс МосБиржи;Индекс МосБиржи;99,14;;;;;;;2;;RUB;;3;;29.09.1997;
SNDX;IMOEX;30.09.1997;Индекс МосБиржи;Индекс МосБиржи;100,16;;;;;;;2;;RUB;;3;;30.09.1997;
SNDX;IMOEX;01.10.1997;Индекс МосБиржи;Индекс МосБиржи;101,21;;;;;;;2;;RUB;;3;;01.10.1997;
SNDX;IMOEX;02.10.1997;Индекс МосБиржи;Индекс МосБиржи;105,8;;;;;;;2;;RUB;;3;;02.10.1997;
SNDX;IMOEX;03.10.1997;Индекс МосБиржи;Индекс МосБиржи;110,73;;;;;;;2;;RUB;;3;;03.10.1997;
SNDX;IMOEX;06.10.1997;Индекс МосБиржи;Индекс МосБиржи;115,03;;;;;;;2;;RUB;;3;;06.10.1997;
SNDX;IMOEX;07.10.1997;Индекс МосБиржи;Индекс МосБиржи;112,67;;;;;;;2;;RUB;;3;;07.10.1997;
SNDX;IMOEX;08.10.1997;Индекс МосБиржи;Индекс МосБиржи;112,22;;;;;;;2;;RUB;;3;;08.10.1997;
SNDX;IMOEX;09.10.1997;Индекс МосБиржи;Индекс МосБиржи;107,89;;;;;;;2;;RUB;;3;;09.10.1997;
SNDX;IMOEX;10.10.1997;Индекс МосБиржи;Индекс МосБиржи;106,56;;;;;;;2;;RUB;;3;;10.10.1997;
SNDX;IMOEX;13.10.1997;Индекс МосБиржи;Индекс МосБиржи;108,54;;;;;;;2;;RUB;;3;;13.10.1997;
SNDX;IMOEX;14.10.1997;Индекс МосБиржи;Индекс МосБиржи;111,44;;;;;;;2;;RUB;;3;;14.10.1997;
SNDX;IMOEX;15.10.1997;Индекс МосБиржи;Индекс МосБиржи;109,65;;;;;;;2;;RUB;;3;;15.10.1997;
SNDX;IMOEX;16.10.1997;Индекс МосБиржи;Индекс МосБиржи;109,68;;;;;;;2;;RUB;;3;;16.10.1997;
SNDX;IMOEX;17.10.1997;Индекс МосБиржи;Индекс МосБиржи;107,9;;;;;;;2;;RUB;;3;;17.10.1997;
SNDX;IMOEX;20.10.1997;Индекс МосБиржи;Индекс МосБиржи;107,46;;;;;;;2;;RUB;;3;;20.10.1997;
