BOARDID;SECID;TRADEDATE;SHORTNAME;NAME;CLOSE;OPEN;HIGH;LOW;VALUE;DURATION;YIELD;DECIMALS;CAPITALIZATION;CURRENCYID;DIVISOR;TRADINGSESSION;VOLUME;TRADE_SESSION_DATE;RECALC_DATE
RTSI;MCFTR;26.02.2003;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;335,67;335,67;335,67;335,67;0;;;2;0;;;3;;26.02.2003;
RTSI;MCFTR;27.02.2003;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;338,35;338,35;338,35;338,35;0;;;2;0;;;3;;27.02.2003;
RTSI;MCFTR;28.02.2003;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;341,52;341,52;341,52;341,52;0;;;2;0;;;3;;28.02.2003;
RTSI;MCFTR;03.03.2003;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;352,24;352,24;352,24;352,24;0;;;2;0;;;3;;03.03.2003;
RTSI;MCFTR;04.03.2003;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;348,4;348,4;348,4;348,4;0;;;2;0;;;3;;04.03.2003;
RTSI;MCFTR;05.03.2003;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;357,65;357,65;357,65;357,65;0;;;2;0;;;3;;05.03.2003;
RTSI;MCFTR;06.03.2003;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;359,97;359,97;359,97;359,97;0;;;2;0;;;3;;06.03.2003;
RTSI;MCFTR;07.03.2003;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;354,87;354,87;354,87;354,87;0;;;2;0;;;3;;07.03.2003;
RTSI;MCFTR;11.03.2003;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;349,89;349,89;349,89;349,89;0;;;2;0;;;3;;11.03.2003;
RTSI;MCFTR;12.03.2003;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;343,24;343,24;343,24;343,24;0;;;2;0;;;3;;12.03.2003;
RTSI;MCFTR;13.03.2003;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;346,83;346,83;346,83;346,83;0;;;2;0;;;3;;13.03.2003;
RTSI;MCFTR;14.03.2003;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;345,65;345,65;345,65;345,65;0;;;2;0;;;3;;14.03.2003;
RTSI;MCFTR;17.03.2003;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;337,83;337,83;337,83;337,83;0;;;2;0;;;3;;17.03.2003;
RTSI;MCFTR;18.03.2003;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;330,14;330,14;330,14;330,14;0;;;2;0;;;3;;18.03.2003;
RTSI;MCFTR;19.03.2003;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;333,97;333,97;333,97;333,97;0;;;2;0;;;3;;19.03.2003;
RTSI;MCFTR;20.03.2003;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;334,91;334,91;334,91;334,91;0;;;2;0;;;3;;20.03.2003;
RTSI;MCFTR;21.03.2003;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;338,76;338,76;338,76;338,76;0;;;2;0;;;3;;21.03.2003;
